AF,AltNames,Apogee,Bus,DDate,DFlag,Dest,Diameter,DryFlag,DryMass,IF,Inc,JCAT,LDate,LFlag,Length,Manufacturer,Mass,MassFlag,Motor,Name,ODate,OQUAL,OpOrbit,Owner,PF,PLName,Parent,Perigee,Piece,Primary,SDate,Satcat,Shape,Span,SpanFlag,State,Status,TotFlag,TotMass,Type
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55009,2023 Jan  3,,0.3,GOS,10,?,-,STAR VIBE,2023 Jan  3,-,LLEO/S,SCANW,,STAR VIBE,A10827,526,2023-001A,Earth,2023 Jan  3 1556:31,55009,Box+ 2 pan,0.3,,PL,O,,10,P
,Geneo,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55010,2023 Jan  3,,0.3,OCOSB,10,?,-,Menut,2023 Jan  3,-,LLEO/S,OCOSB/IEEC,,Menut,A10827,525,2023-001B,Earth,2023 Jan  3 1556:08,55010,Box+ 2 pan,0.3,,E,O,,10,P
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55011,2023 Jan  3,,0.3,GOMSP,10,?,-,BRO-8,2023 Jan  3,-,LLEO/S,UNSEEN,,BRO-8,A10827,525,2023-001C,Earth,2023 Jan  3 1555:57,55011,Box,0.3,,F,O,,10,P
,-,539,Cubesat 3U,-,,-,0.1,,4,,97.50,S55012,2023 Jan  3,,0.3,PLNSST,4,,-,Connecta T1.2,2023 Jan  3,-,LLEO/S,PLNSST,,Connecta T1.2,A10827,524,2023-001D,Earth,2023 Jan  3 1555:47,55012,Box,0.3,,TR,O,,4,P
,Incubed Pro,537,Cubesat 3U,-,,-,0.1,,4.600,,97.49,S55013,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 PhilAri,2023 Jan  3,-,LLEO/S,SPIREL/ESA,,Lemur-2,A10827,525,2023-001E,Earth,2023 Jan  3 1600:43,55013,Box+2 pan,0.3,,L,O,,4.600,P
,-,538,Cubesat 3U,-,,-,0.1,,4.600,,97.50,S55014,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 Disclaimer,2023 Jan  3,-,LLEO/S,SPIRE,,Lemur-2,A10827,524,2023-001F,Earth,2023 Jan  3 1556:20,55014,Box+2 pan,0.3,,US,O,,4.600,P
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55015,2023 Jan  3,,0.3,NANAV,10,?,-,Birkeland,2023 Jan  3,-,LLEO/S,NLR/NDRE,,MilSpace2-1,A10827,524,2023-001G,Earth,2023 Jan  3 1557:58,55015,Box+ 2 pan,0.3,,NL,O,,10,P
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.49,S55016,2023 Jan  3,,0.3,ENDUR,10,?,-,SharedSat 2211,2023 Jan  3,-,LLEO/S,ENDUR,,Endurosat Platform-2,A10827,524,2023-001H,Earth,2023 Jan  3 1554:31,55016,Box+2 pan,0.3,,BGN,O,?,10,P       ?
,AIS-1,537,Cubesat 3U,-,,-,0.1,,4.600,,97.49,S55017,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 SteveAlbers,2023 Jan  3,-,LLEO/S,SPIRE,,Lemur-2,A10827,524,2023-001J,Earth,2023 Jan  3 1556:51,55017,Box+2 pan,0.3,,US,O,,4.600,P
,-,537,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55018,2023 Jan  3,,0.3,ISISBV,10,?,-,KSF3-C,2023 Jan  3,-,LLEO/S,KLEOS,,KSF3-C,A10827,525,2023-001K,Earth,2023 Jan  3 1559:21,55018,Box,0.3,,L,O,?,10,P
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55019,2023 Jan  3,,0.3,ISISBV,10,?,-,KSF3-B,2023 Jan  3,-,LLEO/S,KLEOS,,KSF3-B,A10827,524,2023-001L,Earth,2023 Jan  3 1558:50,55019,Box,0.3,,L,O,?,10,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55020,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-24,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24b9,A10827,517,2023-001M,Earth,2023 Jan  3 1606:51,55020,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55021,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-32,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24b6,A10827,517,2023-001N,Earth,2023 Jan  3 1602:41,55021,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55022,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-22,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c1,A10827,517,2023-001P,Earth,2023 Jan  3 1607:28,55022,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55023,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-18,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24ce,A10827,523,2023-001Q,Earth,2023 Jan  3 1608:37,55023,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55024,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-14,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24b5,A10827,517,2023-001R,Earth,2023 Jan  3 1607:17,55024,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55025,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-30,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c0,A10827,524,2023-001S,Earth,2023 Jan  3 1605:24,55025,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55026,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-19,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24a9,A10827,524,2023-001T,Earth,2023 Jan  3 1608:49,55026,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55027,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-25,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24b2,A10827,524,2023-001U,Earth,2023 Jan  3 1601:10,55027,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55028,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-5,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24b4,A10827,523,2023-001V,Earth,2023 Jan  3 1613:36,55028,Box+2 pan,0.3,,US,O,,5.700,P
,-,536,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55029,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-10,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c3,A10827,517,2023-001W,Earth,2023 Jan  3 1615:38,55029,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.49,S55030,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-29,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24bb,A10827,523,2023-001X,Earth,2023 Jan  3 1601:32,55030,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55031,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-17,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c2,A10827,522,2023-001Y,Earth,2023 Jan  3 1608:26,55031,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55032,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-7,2023 Jan  3,-,LLEO/S,PLAN,,Dove 2417,A10827,522,2023-001Z,Earth,2023 Jan  3 1613:46,55032,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55033,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-28,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24b1,A10827,523,2023-001AA,Earth,2023 Jan  3 1604:29,55033,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Lynk Shannon,-,,-,1.0,?,80,,97.50,S55034,2023 Jan  3,,0.150,LYNK,80,,-,Lynk Tower 4,2023 Jan  3,-,LLEO/S,LYNK,,Lynk Tower 4,A10827,523,2023-001AB,Earth,2023 Jan  3 1615:58,55034,Box,1.0,,US,O,?,80,P      O
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55035,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-3,2023 Jan  3,-,LLEO/S,PLAN,,Dove 242e,A10827,518,2023-001AC,Earth,2023 Jan  3 1610:36,55035,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Umbra,-,,-,0.5,,60,,97.50,S55036,2023 Jan  3,,0.7,UMBRA,65,,-,Umbra-05,2023 Jan  3,-,LLEO/S,UMBRA,,Umbra-05,A10827,519,2023-001AD,Earth,2023 Jan  3 1619:46,55036,Box + 2 Pan + Dish,3.8,,US,O,,65,P
,L3C-1,537,Cubesat 3U,-,,-,0.1,,4.600,,97.50,S55037,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 Emmaculate,2023 Jan  3,-,LLEO/S,SPIRE,,Lemur-2,A10827,517,2023-001AE,Earth,2023 Jan  3 1554:40,55037,Box+2 pan,0.3,,US,O,,4.600,P
,GNSS-3,537,Cubesat 3U,-,,-,0.1,,4.600,,97.50,S55038,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 MMolo,2023 Jan  3,-,LLEO/S,SPIRE,,Lemur-2,A10827,516,2023-001AF,Earth,2023 Jan  3 1558:43,55038,Box+2 pan,0.3,,US,O,,4.600,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.49,S55039,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-1,2023 Jan  3,-,LLEO/S,PLAN,,Dove 2415,A10827,523,2023-001AG,Earth,2023 Jan  3 1609:50,55039,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.49,S55040,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-16,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c9,A10827,517,2023-001AH,Earth,2023 Jan  3 1606:38,55040,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Skykraft Carrier,-,?,-,0.1,?,100,,97.50,S55041,2023 Jan  3,?,0.6,SKYKR,100,?,AOCS,Skykraft 1 Carrier,2023 Jan  3,-,LLEO/S,SKYKR,,Skykraft 1 Carrier,A10827,521,2023-001AJ,Earth,2023 Jan  3 1623:30,55041,Box,0.6,?,AU,O,?,100,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55042,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-33,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24bf,A10827,524,2023-001AK,Earth,2023 Jan  3 1605:13,55042,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55043,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-11,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24a7,A10827,523,2023-001AL,Earth,2023 Jan  3 1612:45,55043,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 6U,-,,-,0.2,,10,,97.50,S55044,2023 Jan  3,,0.3,SPINV,10,,-,Sternula-1,2023 Jan  3,-,LLEO/S,STERN,,Sternula-1,A10827,522,2023-001AM,Earth,2023 Jan  3 1602:26,55044,Box+Ant,0.6,,DK,O,,10,P
,-,537,Newsat V,-,,-,0.508,,38.500,,97.50,S55045,2023 Jan  3,,0.813,URUGUS,41.500,,-,Amelia Earhart,2023 Jan  3,-,LLEO/S,URUGUS,,NuSat-34,A10827,521,2023-001AN,Earth,2023 Jan  3 1617:36,55045,Box,0.813,,UY,O,,41.500,P
,-,537,Lynk Shannon,-,,-,1.0,?,80,,97.50,S55046,2023 Jan  3,,0.150,LYNK,80,,-,Lynk Tower 3,2023 Jan  3,-,LLEO/S,LYNK,,Lynk Tower 3,A10827,522,2023-001AP,Earth,2023 Jan  3 1615:42,55046,Box,1.0,,US,O,?,80,P      O
,-,537,Newsat V,-,,-,0.508,,38.500,,97.50,S55047,2023 Jan  3,,0.813,URUGUS,41.500,,-,Albania-2,2023 Jan  3,-,LLEO/S,URUGUS,,NuSat-33,A10827,521,2023-001AQ,Earth,2023 Jan  3 1617:59,55047,Box,0.813,,UY,O,,41.500,P
,-,537,Newsat V,-,,-,0.508,,38.500,,97.50,S55048,2023 Jan  3,,0.813,URUGUS,41.500,,-,Williamina,2023 Jan  3,-,LLEO/S,URUGUS,,NuSat-35,A10827,521,2023-001AR,Earth,2023 Jan  3 1620:43,55048,Box,0.813,,UY,O,,41.500,P
,-,537,ICEYE,-,,-,0.6,,80,,97.50,S55049,2023 Jan  3,,0.8,ICEYE,80,,-,ICEYE-X21,2023 Jan  3,-,LLEO/S,ICEYE,,ICEYE-X21,A10827,521,2023-001AS,Earth,2023 Jan  3 1619:00,55049,Box + pan,1.5,?,FI,O,,80,P
,-,537,Umbra,-,,-,0.5,,60,,97.50,S55050,2023 Jan  3,,0.7,UMBRA,65,,-,Umbra-04,2023 Jan  3,-,LLEO/S,UMBRA,,Umbra-04,A10827,521,2023-001AT,Earth,2023 Jan  3 1619:42,55050,Box + 2 Pan + Dish,3.8,,US,O,,65,P
,ION Second Star to the Right,537,ION-SC,-,,-,0.4,,150,,97.50,S55051,2023 Jan  3,,0.4,DORBIT,150,,PM200,ION SCV008 FIERCE FRANCISCUS,2023 Jan  3,-,LLEO/S,DORBIT,,ION-SCV008,A10827,520,2023-001AU,Earth,2023 Jan  3 1622:01,55051,Box,0.4,,I,O,,220,P
,-,536,Skykraft,-,?,-,0.1,?,50,,97.50,S55052,2023 Jan  3,?,0.6,SKYKR,50,?,-,Skykraft 1D,2023 Jan 18,-,LLEO/S,SKYKR,,Skykraft 1D,S55041,517,2023-001AV,Earth,2023 Jan 12?,55052,Box,0.6,?,AU,O,?,50,P
,-,537,EOS-SAT,-,,-,0.5,,178,,97.50,S55053,2023 Jan  3,,0.5,DRFLY,178,,AOCS,EOS SAT-1,2023 Jan  3,-,LLEO/S,EOSDA,,EOS Agrisat-1,A10827,520,2023-001AW,Earth,2023 Jan  3 1627:06,55053,Pent cyl + 2 pan,0.5,,US,O,,178,P
,-,534,Skykraft,-,?,-,0.1,?,50,,97.51,S55054,2023 Jan  3,?,0.6,SKYKR,50,?,-,Skykraft 1A,2023 Jan 25,-,LLEO/S,SKYKR,,Skykraft 1A,S55041,513,2023-001AX,Earth,2023 Jan 12?,55054,Box,0.6,?,AU,O,?,50,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55055,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-4,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24b0,A10827,518,2023-001AY,Earth,2023 Jan  3 1614:37,55055,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Vigoride,-,,-,0.5,,292,,97.50,S55056,2023 Jan  3,,1.2,MOMENT,363,,AOCS,Vigoride VR-5,2023 Jan  3,-,LLEO/S,MOMENT,,Vigoride VR-5,A10827,520,2023-001AZ,Earth,2023 Jan  3 1624:06,55056,Box+ 2 pan,6.5,,US,O,,363,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55057,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-35,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c5,A10827,517,2023-001BA,Earth,2023 Jan  3 1602:54,55057,Box+2 pan,0.3,,US,O,,5.700,P
,-,536,Skykraft,-,?,-,0.1,?,50,,97.51,S55058,2023 Jan  3,?,0.6,SKYKR,50,?,-,Skykraft 1B,2023 Jan 18,-,LLEO/S,SKYKR,,Skykraft 1B,S55041,514,2023-001BB,Earth,2023 Jan 12?,55058,Box,0.6,?,AU,O,?,50,P
,-,536,LaOrb1,-,,-,1.0,?,150,,97.50,S55059,2023 Jan  3,,0.3,LAUN,200,?,AOCS,Orbiter SN1,2023 Jan  3,-,LLEO/S,LAUN,,Launcher Orbiter SN1,A10827,520,2023-001BC,Earth,2023 Jan  3 1622:07,55059,Oct cyl,1.0,,US,O,?,200,P
,ION Second Star to the Right,537,ION-SC,-,,-,0.4,,150,,97.50,S55060,2023 Jan  3,,0.4,DORBIT,150,,PM200,ION SCV007 GLORIUS GRATIA,2023 Jan  3,-,LLEO/S,DORBIT,,ION-SCV007,A10827,520,2023-001BD,Earth,2023 Jan  3 1620:55,55060,Box,0.4,,I,O,,220,P
,-,536,Skykraft,-,?,-,0.1,?,50,,97.50,S55061,2023 Jan  3,?,0.6,SKYKR,50,?,-,Skykraft 1C,2023 Jan 18,-,LLEO/S,SKYKR,,Skykraft 1C,S55041,517,2023-001BE,Earth,2023 Jan 12?,55061,Box,0.6,?,AU,O,?,50,P
,-,537,ICEYE,-,,-,0.5,,89,,97.50,S55062,2023 Jan  3,,0.7,ICEYE,90,,-,ICEYE-X27,2023 Jan  3,-,LLEO/S,ICEYE,,ICEYE-X27,A10827,520,2023-001BF,Earth,2023 Jan  3 1623:27,55062,Box + pan,3.250,,FI,O,,90,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55063,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-20,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24ca,A10827,523,2023-001BG,Earth,2023 Jan  3 1609:32,55063,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Newsat V,-,,-,0.508,,38.500,,97.50,S55064,2023 Jan  3,,0.813,URUGUS,41.500,,-,Albania-1,2023 Jan  3,-,LLEO/S,URUGUS,,NuSat-32,A10827,519,2023-001BH,Earth,2023 Jan  3 1615:56,55064,Box,0.813,,UY,O,,41.500,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55065,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-12,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24cf,A10827,522,2023-001BJ,Earth,2023 Jan  3 1612:34,55065,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55066,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-6,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24af,A10827,518,2023-001BK,Earth,2023 Jan  3 1611:48,55066,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 6U,-,,-,0.2,,10,,97.50,S55067,2023 Jan  3,,0.3,CLAAC,10,,-,NSLSat-2,2023 Jan  3,-,LLEO/S,NSLC/CLAAC,,NSLSat-2,A10827,518,2023-001BL,Earth,2023 Jan  3 1601:46,55067,Box+Dish,0.6,,IL,O,,10,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55068,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-15,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24b3,A10827,524,2023-001BM,Earth,2023 Jan  3 1600:59,55068,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55069,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-9,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24a8,A10827,517,2023-001BN,Earth,2023 Jan  3 1614:48,55069,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.49,S55070,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-26,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c4,A10827,524,2023-001BP,Earth,2023 Jan  3 1601:21,55070,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55071,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-8,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24ab,A10827,517,2023-001BQ,Earth,2023 Jan  3 1610:46,55071,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55072,2023 Jan  3,,0.3,TOK,10,?,-,EYE,2023 Jan  3,-,LLEO/S,SONY,,STAR SPHERE 1,A10827,518,2023-001BR,Earth,2023 Jan  3 1601:36,55072,Box+2 pan,0.3,,J,O,?,10,P
,-,536,Cubesat 3U,-,,-,0.1,,4,,97.51,S55073,2023 Jan  3,,0.3,TAU,4,,-,TAUSat2,2023 Jan 18,-,LLEO/S,TAU,,TAUSat-3,S55051,514,2023-001BS,Earth,2023 Jan 16,55073,Box,0.3,,IL,O,,4,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55074,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-2,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24a1,A10827,517,2023-001BT,Earth,2023 Jan  3 1611:36,55074,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55075,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-31,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24be,A10827,524,2023-001BU,Earth,2023 Jan  3 1604:41,55075,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,YAM,-,,-,1.0,,87,,97.50,S55076,2023 Jan  3,?,1.0,LEOSTL,87,,-,YAM-5,2023 Jan  3,-,LLEO/S,LOFT,,YAM-5,A10827,519,2023-001BV,Earth,2023 Jan  3 1616:38,55076,Box,1.0,?,US,O,,87,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55077,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-21,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24ba,A10827,518,2023-001BW,Earth,2023 Jan  3 1607:39,55077,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.49,S55078,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-36,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24d0,A10827,518,2023-001BX,Earth,2023 Jan  3 1606:20,55078,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55079,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-13,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c7,A10827,518,2023-001BY,Earth,2023 Jan  3 1603:46,55079,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.50,S55080,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-23,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24bc,A10827,524,2023-001BZ,Earth,2023 Jan  3 1609:22,55080,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 2U,-,,-,0.1,,2,,97.50,S55081,2023 Jan  3,,0.2,KPI,2,,-,PolyITAN-HP-30,2023 Jan  3,-,LLEO/S,KPI,,PolyITAN,A10827,517,2023-001CA,Earth,2023 Jan  3 1601:08,55081,Box,0.2,,UA,O,,2,P       ?
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.49,S55082,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-34,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24cc,A10827,523,2023-001CB,Earth,2023 Jan  3 1605:34,55082,Box+2 pan,0.3,,US,O,,5.700,P
,-,537,Cubesat 3U,-,,-,0.1,,5.700,,97.49,S55083,2023 Jan  3,,0.3,PLAN,5.700,,-,Flock 4y-27,2023 Jan  3,-,LLEO/S,PLAN,,Dove 24c8,A10827,518,2023-001CC,Earth,2023 Jan  3 1602:31,55083,Box+2 pan,0.3,,US,O,,5.700,P
,-,536,Cubesat 6U,-,,-,0.2,?,10,,97.49,S55084,2023 Jan  3,,0.3,NANAV,10,?,-,GAMA Alpha,2023 Jan  3,-,LLEO/S,GAMA,,Gama Alpha,A10827,517,2023-001CD,Earth,2023 Jan  3 1555:56,55084,Box+Sail,8.5,,F,O,?,10,P
,-,537,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55085,2023 Jan  3,,0.3,ISISBV,10,?,-,KSF3-D,2023 Jan  3,-,LLEO/S,KLEOS,,KSF3-D,A10827,516,2023-001CE,Earth,2023 Jan  3 1600:58,55085,Box,0.3,,L,O,?,10,P
,-,537,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55086,2023 Jan  3,,0.3,ISISBV,10,?,-,KSF3-A,2023 Jan  3,-,LLEO/S,KLEOS,,KSF3-A,A10827,516,2023-001CF,Earth,2023 Jan  3 1557:07,55086,Box,0.3,,L,O,?,10,P
,-,537,Cubesat 0.25U,-,,-,0.1,,0.284,,97.50,S55087,2023 Jan  3,,0.025,SWARMX,0.284,,-,SpaceBEE-167,2023 Jan  3,-,LLEO/S,SWARMX,,SpaceBEE-167,A10827,516,2023-001CG,Earth,2023 Jan  3 1558:03,55087,Box+2 ant,0.9,,US,O,,0.284,P
,AIS-2,537,Cubesat 3U,-,,-,0.1,,4.600,,97.50,S55088,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 Fuentetaja-01,2023 Jan  3,-,LLEO/S,SPIRE,,Lemur-2,A10827,517,2023-001CH,Earth,2023 Jan  3 1554:51,55088,Box+2 pan,0.3,,US,O,,4.600,P
,-,537,Cubesat 0.25U,-,,-,0.1,,0.284,,97.50,S55089,2023 Jan  3,,0.025,SWARMX,0.284,,-,SpaceBEE-163,2023 Jan  3,-,LLEO/S,SWARMX,,SpaceBEE-163,A10827,516,2023-001CJ,Earth,2023 Jan  3 1558:03,55089,Box+2 ant,0.9,,US,O,,0.284,P
,-,537,Chimera,-,,-,0.5,,100,,97.50,S55090,2023 Jan  3,,1.0,EPIC,270,,AOCS,Chimera LEO-1,2023 Jan  3,-,LLEO/S,EPIC,,Chimera LEO-1,A10827,521,2023-001CK,Earth,2023 Jan  3 1624:50,55090,Box,1.0,,US,O,,270,P       ?
,-,537,Cubesat 0.25U,-,,-,0.1,,0.284,,97.50,S55091,2023 Jan  3,,0.025,SWARMX,0.284,,-,SpaceBEE-164,2023 Jan  3,-,LLEO/S,SWARMX,,SpaceBEE-164,A10827,516,2023-001CL,Earth,2023 Jan  3 1558:03,55091,Box+2 ant,0.9,,US,O,,0.284,P
,-,537,Cubesat 0.25U,-,,-,0.1,,0.284,,97.50,S55092,2023 Jan  3,,0.025,SWARMX,0.284,,-,SpaceBEE-166,2023 Jan  3,-,LLEO/S,SWARMX,,SpaceBEE-166,A10827,516,2023-001CM,Earth,2023 Jan  3 1558:03,55092,Box+2 ant,0.9,,US,O,,0.284,P
,-,536,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55093,2023 Jan  3,,0.3,NANAV,10,?,-,Huygens,2023 Jan  3,-,LLEO/S,NLR/NDRE,,MilSpace2-2,A10827,516,2023-001CN,Earth,2023 Jan  3 1556:14,55093,Box+ 2 pan,0.3,,NL,O,,10,P
