cospar_num,launch_date,mission,norad_num,object,predicted_reentry_date,reentry_type
"2007-006C
","Mar 09, 2007",OE (ASTRO)/OE (NEXTSAT),30774,OE (NEXTSAT) (ID 30774),4/21/23,Payload
"2023-026S
","Feb 27, 2023",Starlink Group 6-1,55711,STARLINK-30048 (ID 55711),6/4/23,Payload
"2021-108A
","Nov 20, 2021",STP-27AD2,49494,ASTRA SATELLITE 00001 (ID 49494),5/14/23,Payload
"2022-014BB
","Feb 25, 2022",Starlink Group 4-11,51817,STARLINK-3596 (ID 51817),5/21/23,Payload
"2020-006H
","Jan 29, 2020",Starlink Launch 3,45051,STARLINK-1141 (ID 45051),5/30/23,Payload
"2023-056A
","Apr 19, 2023",Starlink Group 6-2,56286,STARLINK-30096 (ID 56286),5/10/23,Payload
"2020-006AU
","Jan 29, 2020",Starlink L3,45086,STARLINK-1181 (ID 45086),5/18/23,Payload
"2020-025AW
","Apr 22, 2020",Starlink Launch 6,45575,STARLINK-1326 (ID 45575),6/3/23,Payload
"2019-074AF
","Nov 11, 2019",Starlink Launch 1,44742,STARLINK-1037 (ID 44742),5/12/23,Payload
"2020-001AK
","Jan 07, 2020",Starlink Launch 2,44947,STARLINK-1116 (ID 44947),6/8/23,Payload
"2020-006C
","Jan 29, 2020",Starlink Launch 3,45046,STARLINK-1129 (ID 45046),4/27/23,Payload
"2020-088J
","Nov 25, 2020",Starlink Launch 15,47130,STARLINK-1839 (ID 47130),5/3/23,Payload
"2023-026B
","Feb 27, 2023",Starlink Group 6-1,55696,STARLINK-30038 (ID 55696),5/12/23,Payload
"1999-002A
","Jan 27, 1999",ROCSAT 1,25616,ROCSAT 1 (ID 25616),5/21/23,Payload
"2020-074D
","Oct 24, 2020",L14,46742,STARLINK-1872 (ID 46742),4/15/23,Payload
"2023-026M
","Feb 27, 2023",Starlink Group 6-1,55706,STARLINK-30054 (ID 55706),4/16/23,Payload
"2020-012AA
","Feb 17, 2020",Starlink Launch 4,45202,STARLINK-1203 (ID 45202),4/20/23,Payload
"2022-025M
","Mar 09, 2022",Starlink Group 4-10,51967,STARLINK-3695 (ID 51967),4/21/23,Payload
"2021-006BW
","Jan 24, 2021",Starlink Launch Tr-1 (Rideshare),47481,CAPELLA-4 (WHITNEY) (ID 47481),4/8/23,Payload
"2022-002CZ
","Jan 13, 2022",USA 323,51079,USA 323 (ID 51079),4/2/23,Payload
